,real_target,Prediction
26,hidradenitis suppurativa : general,[{'summary_text': 'hidradenitis suppurativa . he says underlying cause of disease is a combination of genetic and environmental factors .'}]
27,gigantism : treatments,"[{'summary_text': 'gigantism : treatments physiology : treatment . acromegaly, san francisco, edinburgh, daniel et al., psg: treatments'}]"
28,immunodeficiency : causes,[{'summary_text': 'immunodeficiency . causes : causes physiology . physiologies : symptoms . symptoms : physiologic'}]
29,cystocele : causes,[{'summary_text': 'a cystocele : physiology : causes physiological . physiologic fibromyalgenia : symptoms'}]
30,lichen planus : symptoms,[{'summary_text': 'lichen planus : physiology : treatments physiologique . physiologic syndrome : symptoms : diagnosis'}]
31,multiple endocrine neoplasia type 2 : treatments,[{'summary_text': 'men2 patients : management : diagnosis : treatments : treatment : interventions  interventions ; treatments ; diagnosis ; treatment'}]
32,spinal muscular atrophy : general,[{'summary_text': 'spinal muscular atrophy : physiology : symptoms : causes physiological . physiologic syndrome : general'}]
33,lung abscess : symptoms,[{'summary_text': 'necrotizing staphylococcus . bacillary pneumonias . symptoms : physiology : causes . causes'}]
34,wagr syndrome : symptoms,[{'summary_text': 'wagr syndrome : diagnosis physiology : treatments : diagnostic . diagnosis: treatments for gynaecologic diagnosis'}]
35,aniseikonia : symptoms,"[{'summary_text': 'diplopia, suppression, eyestrain . hepatitis c . symptoms : causes . causes'}]"
36,diabetic ketoacidosis : treatments,[{'summary_text': 'diabetic ketoacidosis . he says rehydration is a cause of adolescence : treatments'}]
37,mucoepidermoid carcinoma : symptoms,[{'summary_text': 'predilection towards female sex . hepatitis c : symptoms . symptoms : treatments . physiology'}]
38,african horse sickness : diagnosis,[{'summary_text': 'presumptive diagnosis : diagnosis physiology : diagnostic . elisa and viral rna . diagnosis'}]
39,mouth ulcer : diagnosis,[{'summary_text': 'malignant ulcer : diagnosis : treatments : symptoms : diagnostics . experts: treatments of oral cancer : diagnoses'}]
40,morphea : general,"[{'summary_text': 'morphea . a form of scleroderma . it involves patches of hardened skin on the face, hands, feet .'}]"
41,infective endocarditis : prevention,[{'summary_text': 'infective endocarditis . hexandroma : treatments . hezbollah et al.'}]
42,hypopituitarism : physiology,[{'summary_text': 'pituitary gland : physiology : causes physiologic : mechanisms physiologique . symbiosis : symptoms'}]
43,postcholecystectomy syndrome : diagnosis,[{'summary_text': 'retrograde cholangiopancreatography . esophagogastroduodenoscopy : physiology'}]
44,congenital heart defect : symptoms,[{'summary_text': 'congenitalheartcase 133 . jpg|thumb|rights] image : stella mccartney .'}]
45,subclavian steal syndrome : general,[{'summary_text': 'subclavian steal syndrome . it is a constellation of sign (medicine)|signs and symptoms . he says it can be attributed to retrograde stenosis .'}]
46,diastasis symphysis pubis : general,[{'summary_text': 'diastasis symphysis pubis : physiology : symptoms : causes physiologic : treatments'}]
47,radiculopathy : diagnosis,[{'summary_text': 'radiculopathy of the left cervical spinal nerve 7 . he says symptoms include spondylosis with osteophytes . neurology: diagnosis'}]
48,genital wart : diagnosis,[{'summary_text': 'genital wart with h&e stain . hepatitis c : diagnosis . physiology'}]
49,calciphylaxis : symptoms,[{'summary_text': 'calciphylaxis : physiology : treatments physiologique : causes physiologic : symptoms : diagnosis'}]
50,zellweger syndrome : diagnosis,[{'summary_text': 'peroxisomal zellweger syndrome . hepatic fibrosis : diagnostic . hepatosis'}]
51,mental disorder : diagnosis,[{'summary_text': 'mental illness : diagnosis physiology : treatments : diagnostics - treatments - interventions . psychiatric diagnosis : diagnose'}]
52,landau–kleffner syndrome : causes,[{'summary_text': 'central nervous system vasculitis . symptoms of lks : causes . causes : physiology ; causes'}]
53,hellp syndrome : physiology,[{'summary_text': 'hellp syndrome : physiology : causes . hepatocellular fibrosis : symptoms : treatments'}]
54,trichuriasis : treatments,[{'summary_text': 'ivermectin . a symptom : treatments . treatments : therapies . . experts: treatments'}]
55,congenital hypothyroidism : causes,"[{'summary_text': ""congenital hypothyroidism . he says it's caused by termed dyshormonogenesis . hypoplastic gland : causes""}]"
56,frontotemporal dementia : physiology,[{'summary_text': 'dementia lacking distinctive histology . ftld-tau : physiology - diagnosis : diagnosis . diagnosis'}]
57,carcinoid : general,[{'summary_text': 'neuroendocrine tumor : causes physiology : symptoms : treatments . socio-economic ephemeral cancer : general'}]
58,systemic scleroderma : symptoms,[{'summary_text': 'diffuse cutaneous scleroderma . symptoms include hypertension : physiology and physiologies . sclerosis : symptoms'}]
59,california encephalitis orthobunyavirus : treatments,[{'summary_text': 'acetaminophen . hepatitis c . symptoms : treatments . treatments : treatment : interventions'}]
60,rectocele : symptoms,[{'summary_text': 'rectocele . symptoms of bowel movement : causes . bowel disease : physiology : symptoms'}]
61,calculus (medicine) : treatments,"[{'summary_text': ""predisposing factors . physiologic physiology : treatments . st. mcdonald's .""}]"
62,pectus excavatum : physiology,[{'summary_text': 'thoracic diaphragm . physiology : causes . symptoms : symptoms . treatments : treatments'}]
63,orofacial granulomatosis : diagnosis,[{'summary_text': 'granuloma ofg . sarcoidosis : causes . causes : physiology .'}]
64,hyperoxia : general,[{'summary_text': 'hyperoxia : physiology : causes . physiologic toxicity : symptoms : conditions . symptoms: causes: causes'}]
65,sympathetic ophthalmia : general,[{'summary_text': 'sympathetic ophthalmia : physiology : symptoms . symbiosis : diagnosis'}]
66,insulin resistance : physiology,[{'summary_text': 'visceral adiposity : physiology : causes : mechanisms physiologic . symbiosis : symptoms'}]
67,frustration : symptoms,[{'summary_text': 'frustration : physiology : causes physiologic . physiological response : symptoms'}]
68,biliary atresia : treatments,[{'summary_text': 'biliary atresia : physiology : treatments : interventions : prevention - interventions - intervention : diagnosis'}]
69,gout : symptoms,"[{'summary_text': ""image:gout2010 .jpg|thumb|upright image : posthumous's . posthumously .""}]"
70,melkersson–rosenthal syndrome : treatments,[{'summary_text': 'nonsteroidal anti-inflammatory drugs . treatments may include anti-immunosuppressants . treatment may include antibiotics and immunosuppression .'}]
71,candidiasis : symptoms,"[{'summary_text': 'esophageal candidiasis . symptoms include dysphagia, odynophagia, nausea .'}]"
72,hepatic veno-occlusive disease : physiology,"[{'summary_text': ""venous endothelium veno-occlusive disease . vodi's symptoms are symptomatic .""}]"
73,narration : general,[{'summary_text': 'narrator is a general general general . he says narrative consists of general symbiosis . general : general'}]
74,nyctalopia : causes,[{'summary_text': 'retinitis pigmentosa retinal detachment . medications include phenothiazines oguchi disease .'}]
75,laryngomalacia : causes,[{'summary_text': 'laryngomalacia : physiology : symptoms : causes physiological : treatments . physiologic syndrome'}]
76,sleepwalking : diagnosis,[{'summary_text': 'sleepwalking disorder : diagnostic physiology : diagnosis . physiologic syndrome : diagnossia : treatments'}]
77,anal sac adenocarcinoma : general,[{'summary_text': 'anal sac adenocarcinoma . apocrine glandular tumor : physiology . diagnosis: diagnosis'}]
78,sciatica : diagnosis,[{'summary_text': 'piriformis syndrome : diagnostic physiology : diagnosis . physiologic sciatica : diagnoses'}]
79,veterinary medicine : general,[{'summary_text': 'veterinary medicine : physiology : treatments physiologique . san francisco-born animal disease : treatment'}]
80,dentin dysplasia : treatments,[{'summary_text': 'periapical abscesses and pulpal necrosis . he says treatment can lead to premature exfoliation and tooth mobility .'}]
81,precocious puberty : treatments,[{'summary_text': 'gnrh agonist anastrozole . hepatitis c - a symptom : treatments'}]
82,type 2 diabetes : physiology,[{'summary_text': 'type 2 diabetes : physiology : causes : mechanisms physiologique . physiologic syndrome : symptoms'}]
83,alveolar osteitis : symptoms,"[{'summary_text': 'alveolar osteitis . symptoms include swollen glands, erythema . bronchitis : symptoms'}]"
84,lymphomatoid granulomatosis : physiology,[{'summary_text': 'ebv-infected malignant b-cells : physiology . physiologic relapse : causes'}]
85,multicystic dysplastic kidney : diagnosis,"[{'summary_text': 'mcdk . antenatal . diagnosis . symptoms : diagnosis, diagnosis, diagnoses . treatments : treatments'}]"
86,thoracic outlet syndrome : general,"[{'summary_text': 'thoracic outlet syndrome . symptoms include edema, swelling, coldness, and pallor . syndrome : general'}]"
87,x-linked ichthyosis : diagnosis,[{'summary_text': 'xli deficiency : diagnosis physiology : treatments physiologique : diagnostic physiologic : diagnoses'}]
88,dependent personality disorder : treatments,[{'summary_text': 'dpd : treatments physiology : treatment physiotherapy . san francis edwards syndrome - treatments'}]
89,obesity hypoventilation syndrome : diagnosis,[{'summary_text': 'obstructive sleep apnea . he says diagnosis varies from diagnosis to diagnosis . diagnosis : diagnosis'}]
90,acute disseminated encephalomyelitis : treatments,[{'summary_text': 'corticosteroids : treatments - treatments : treatment : interventions : prevention : intervention : prévention : action : perspectives'}]
91,abrasion (dental) : treatments,[{'summary_text': 'abrasion lesion : treatments physiology - treatments - physiologies - treatment : prevention : interventions'}]
92,hepatorenal syndrome : causes,[{'summary_text': 'hepatorenal syndrome : physiology : causes . cirrhosis . hepatosis'}]
93,peliosis hepatis : treatments,[{'summary_text': 'azathioprine . remission in kidney transplant . partial resection of liver / liver transplantation .'}]
94,sick building syndrome : diagnosis,[{'summary_text': 'building-related illness : causes . hepatitis c : symptoms : diagnosis : treatments : diagnoses : general'}]
95,onchocerciasis : causes,"[{'summary_text': ""'onchocerca volvulus' is a parasite . he ingests microfilaria : physiology""}]"
96,leber congenital amaurosis : symptoms,[{'summary_text': 'congenital syndrome : physiology : diagnosis . physiologic lca : treatments : diagnoses'}]
97,chilblains : symptoms,[{'summary_text': 'pruritis in extremities dermatitis . erythema : physiology : causes . causes'}]
98,rhinophyma : diagnosis,[{'summary_text': 'rhinophyma . a skin biopsy . can confirm diagnosis . the diagnosis is a symptom of a fever .'}]
99,sphincter of oddi dysfunction : physiology,[{'summary_text': 'sphincter of oddi dysfunction . causes include stenosis . biliary dyskinesia'}]
100,leukostasis : general,[{'summary_text': 'symptomatic hyperleukostasis : physiology : symptoms . physiologic leukemia : diagnosis'}]
101,neurasthenia : symptoms,[{'summary_text': 'neurasthenia : physiology : causes . socioeconomic repercussions of monetary system disease : symptoms'}]
102,pyruvate carboxylase deficiency : diagnosis,[{'summary_text': 'pyruvate carboxylase deficiency . symptoms are characterized by severity and severity of symptoms . physiology'}]
103,orthostatic intolerance : diagnosis,[{'summary_text': 'oi : diagnoses : treatments . experts: treatments can help apoptosis . treatments can be asymptomatic .'}]
104,expressive aphasia : general,[{'summary_text': 'expressive aphasia . he says speech is characterized by partial loss of the ability to produce language . speech : general'}]
105,aura (symptom) : general,[{'summary_text': 'epilepsy : physiology : symptoms : causes . experts say migraines : treatments : diagnosis'}]
106,hemifacial spasm : causes,[{'summary_text': 'hemifacial spasm . ephaptic synapse : physiology . diagnosis : causes'}]
107,silicosis : symptoms,[{'summary_text': 'chronic silicosis . symptoms include dyspnea . physiology : symptoms . expert: symptoms'}]
108,tendinopathy : causes,[{'summary_text': 'achilles tendinitis calcific tendineitis patellar tendine . hepatitis c : causes'}]
109,tick-borne disease : treatments,[{'summary_text': 'tick-borne disease : diagnosis : treatments . experts : diagnose symptomatic ephemera : treatment'}]
110,pneumothorax : general,[{'summary_text': 'a pneumothorax : physiology : symptoms : causes . socio-political pulmonary disease : treatments'}]
111,onychomycosis : symptoms,[{'summary_text': 'fungal nail infection . symptoms include onychomycosis . dermatophytid : physiology'}]
112,monckeberg's arteriosclerosis : symptoms,"[{'summary_text': ""mönckeberg's arteriosclerosis . symptoms include atherosclerosis, calciphylaxis .""}]"
113,crohn's disease : diagnosis,[{'summary_text': 'lichen nitidus . hexadecimal bowel disease . diagnosis : diagnosis physiology : treatments'}]
114,budd–chiari syndrome : symptoms,[{'summary_text': 'fulminant syndrome : physiology . physiologic fibrosis : symptoms : diagnosis : treatments'}]
115,epiglottitis : prevention,[{'summary_text': 'hib vaccine . rifampin|rifampicin is a bacterial infection . it can be used to prevent the disease .'}]
116,snoring : symptoms,[{'summary_text': 'loud snoring : physiology : causes . socioeconomic reversal of abrasive pulmonary disease'}]
117,infant respiratory distress syndrome : physiology,[{'summary_text': 'respiratory distress syndrome : physiology : prevention : treatments : diagnosis : interventions : causes : symptoms : diagnostics  sociology'}]
118,pulmonary hypertension : diagnosis,[{'summary_text': 'pulmonary hypertension : diagnosis physiology : treatments : diagnoses : diagnostics . experts: diagnosis'}]
119,heavy chain disease : general,[{'summary_text': 'heavy chain disease . causes : physiology - physiologie : causes . physiologic : treatments : general'}]
120,protein s deficiency : general,[{'summary_text': 'protein s deficiency . causes of venous thrombosis : physiology . symptoms : symptoms'}]
121,mycotoxin : general,"[{'summary_text': ""mycotoxin . he says the term 'fungus' is reserved for fungi that colonize crops . mycotoxins causing disease : causes""}]"
122,chorea gravidarum : treatments,"[{'summary_text': 'severe disabling chorea . valproic acid, chloral hydrate, or phenobarbital : treatments'}]"
123,large intestine : general,[{'summary_text': 'large intestine . he says general gastrointestinal tract . general hegema : physiology . global : general'}]
124,psychomotor agitation : symptoms,[{'summary_text': 'psychomotor agitation . symptoms : physiology – symptoms – physiologic . physiotherapy : symptoms'}]
125,crush syndrome : physiology,[{'summary_text': 'crush syndrome : physiological physiology . hepatitis c : symptoms : causes physiologic diagnosis'}]
126,liver abscess : treatments,"[{'summary_text': 'iv metronidazole, cephalosporin/quinolone . -lactam antibiotics .'}]"
127,complex regional pain syndrome : symptoms,"[{'summary_text': 'crps : symptoms : causes . symptoms: causes, causes : physiology : treatments . socioeconomics: causes'}]"
128,serotonin syndrome : causes,[{'summary_text': 'serotonin syndrome : physiology : causes physiologic : mechanisms physiologique . physiological toxicity'}]
129,hepatitis c : diagnosis,[{'summary_text': 'chronic hepatic fibrosis : diagnostic physiology . elisa|enzyme immunoassay : diagnosis'}]
130,cryopyrin-associated periodic syndrome : treatments,[{'summary_text': 'interleukin 1 beta|interleukine 1 . hepatitis c : physiology : treatments'}]
131,major depressive disorder : diagnosis,[{'summary_text': 'major depressive disorder : diagnostic physiology : diagnose . physiologic relapse - diagnosis : diagnosis'}]
132,myelofibrosis : general,"[{'summary_text': ""primary myelofibrosis . he says the term 'myeloproliferative neoplasm'""}]"
133,anaplastic thyroid cancer : symptoms,"[{'summary_text': 'anaplastic thyroid cancer . symptoms include redness, swelling, esophageal sclerosis . hepatitis c : symptoms'}]"
134,bornholm disease : causes,[{'summary_text': 'coxsackie b virus : physiology : causes . physiologic sclerosis : symptoms'}]
135,henoch–schönlein purpura : physiology,[{'summary_text': 'henoch–schönlein purpura : physiology : symptoms . hippocampus syndrome : causes'}]
136,ascariasis : causes,[{'summary_text': 'ascariasis : physiology : causes . socioeconomic toxicity : prevention : treatments : symptoms'}]
137,sideroblastic anemia : general,[{'summary_text': 'sideroblastic anemia : physiology - physiologie : causes . hematological malignancies : general'}]
138,vitamin e deficiency : treatments,[{'summary_text': 'oral vitamin e supplementation . elga : treatments . treatments : prevention . prevention : prévention : treatment'}]
139,neuralgia : treatments,[{'summary_text': 'neuronalgia : treatments . physiologic neuropathic pain . physiology : treatment'}]
140,developmental language disorder : treatments,[{'summary_text': 'slt intervention : physiology - treatments - physiotherapy : treatments . autism spectrum disorder : therapies'}]
141,polyuria : physiology,[{'summary_text': 'polyuria in osmotic nephropathy . he says hyperglycaemic and obstructive polyurea play a role in diabetes .'}]
142,kaposi's sarcoma : treatments,[{'summary_text': 'kaposi sarcoma . he says treatment can slow or stop the progression of ks . but treatment can be a cure for k-related disease .'}]
143,myelophthisic anemia : physiology,[{'summary_text': 'myelophthisis . cytokines that simulate fibroblastic proliferation and fibrosis in the marrow .'}]
144,volvulus : diagnosis,[{'summary_text': 'colonic volvulus . diagnosis of edematous colonic obstruction : diagnosis . consultant san francisco-based disease : diagnostic'}]
145,retinopathy of prematurity : general,[{'summary_text': 'retinopathy of prematurity . he says rop : causes physiology . causes : physiologie'}]
146,oculopharyngeal muscular dystrophy : diagnosis,[{'summary_text': 'oculopharyngeal muscular dystrophy . diagnosis of octopoid arthritis : diagnosis : treatments'}]
147,complex regional pain syndrome : prevention,[{'summary_text': 'vitamin c may be useful in prevention of the syndrome . septicemia - a symptom : prevention . prevention'}]
148,rhabdomyolysis : diagnosis,[{'summary_text': 'rhabdomyolysis . hepatitis c : diagnosis : treatments  physiologic syndrome : diagnostic'}]
149,abscess : treatments,[{'summary_text': 'an uncomplicated skin abscess . he says antibiotics can cause recurrence if they are asymptomatic . antibiotics : treatments'}]
150,glomus tumor : symptoms,[{'summary_text': 'glomus tumor : treatments physiology - treatments - physiologic . symbiosis : symptoms'}]
151,bunion : diagnosis,[{'summary_text': 'hallux valgus angle . x-ray : diagnoses : diagnosis - diagnosis : diagnostic . physiology'}]
152,thiamine deficiency : symptoms,"[{'summary_text': 'gastrointestinal beriberi . symptoms include weight loss, emotional disturbances . edema : physiology : symptoms'}]"
153,sulfatidosis : causes,[{'summary_text': 'sulfatase insufficiency . symptoms : causes . causes : physiology ; causes'}]
154,monoclonal gammopathy of undetermined significance : symptoms,"[{'summary_text': 'monoclonal gammopathy . symptoms include numbness, tingling, nephropathy . physiology'}]"
155,onychomycosis : diagnosis,[{'summary_text': 'onychomycosis : diagnose : diagnosis : diagnostic . biologist disease : treatments'}]
156,optic neuritis : treatments,[{'summary_text': 'optic neuritis . he says corticosteroid treatment asymptomatic . neurodegenerative sclerosis : treatments'}]
157,vascular dementia : prevention,[{'summary_text': 'vascular dementia . he says diagnosis . symptoms : prevention . hepatitis c : treatments physiology'}]
158,angioimmunoblastic t-cell lymphoma : symptoms,[{'summary_text': 'pruritus|pruritic skin rash : physiology : symptoms - symptoms : diagnosis . sociology'}]
159,lactose intolerance : diagnosis,"[{'summary_text': 'lactose intolerance . he says diagnosis focuses on regulating bowel disease . in vivo, diagnosis : diagnosis'}]"
160,hearing : general,[{'summary_text': 'auditory perception : physiology : general : causes . sociology: causes of hearing : symptoms : treatments physiologic'}]
161,organophosphate poisoning : diagnosis,[{'summary_text': 'organophosphate poisoning . he says op metabolites in blood and urine are symptomatic . histopathology : diagnosis'}]
162,rheumatic fever : symptoms,"[{'summary_text': 'tonsillar exudate in a 16-year-old . symptoms include: fever, painful joints with changes with time .'}]"
163,hypothyroidism : general,[{'summary_text': 'hypothyroidism : physiology : symptoms : causes  physiologic symbiosis'}]
164,right ventricular hypertrophy : causes,[{'summary_text': 'pulmonary hypertension . he says rvh varies based on causes . symptoms : causes physiology .'}]
165,cough : general,[{'summary_text': 'cough : physiology : symptoms : treatments . experts say symptoms may be symptomatic : prevention : interventions'}]
166,lactic acidosis : diagnosis,[{'summary_text': 'acid-base disturbances . venous blood tests : alternative . alternative : alternatives . abrasion : treatments'}]
167,chronic paroxysmal hemicrania : causes,[{'summary_text': 'mehta et al. diagnosed with cph . symptoms include aneurysms in the circle of willis .'}]
168,opioid : general,[{'summary_text': 'opioids : physiology : treatments : causes . socio-economic euphoria : symptoms'}]
169,mesenteric ischemia : symptoms,"[{'summary_text': 'mesenteric ischemia . symptoms include abdominal bloating, bowel peristalsis . syndrome : symptoms : diagnosis'}]"
170,psychoanalysis : general,[{'summary_text': 'psychologist sigmund freud : physiology . he says psychiatry is a determinant of mental health . neurology'}]
171,neonatal jaundice : causes,[{'summary_text': 'membrane conditions spherocytosis hereditary elliptocytose deficiency . globin synthesis defect sickle cell disease alpha-thalassemia'}]
172,b-cell lymphoma : general,[{'summary_text': 'b-cell lymphoma . hepatitis c : physiology : treatments . physiologic lymphomic disease : treatment'}]
173,myasthenia gravis : diagnosis,[{'summary_text': 'congenital myasthenia gravis . diagnosis : diagnose physiology : diagnosis . diagnose : treatments for physiologic maladies'}]
174,postherpetic neuralgia : prevention,[{'summary_text': 'postherpetic neuralgia . he says he can prevent phn from occurring in nonimmune children .'}]
175,choanal atresia : general,[{'summary_text': 'choanal atresia : physiology : symptoms : causes . causes : mechanisms physiologic : treatments'}]
176,achondroplasia : diagnosis,[{'summary_text': 'margaret theresa of spain achondroplasia . he says diagnosis can be done by prenatal ultrasound . histopathology'}]
177,myositis ossificans : diagnosis,[{'summary_text': 'myositis ossificans . diagnosis is based on diagnosis of acoustic sarcoma .'}]
178,paternalism : general,"[{'summary_text': ""paternalism is a person's or group's liberty . he says he thinks it is appropriate towards children .""}]"
179,myxoma : general,[{'summary_text': 'myxoma . is a common tumor of primitive connective tissue . can occur in other areas of the heart .'}]
180,enteritis : causes,[{'summary_text': 'eosinophilic enteropathy : physiology : causes . physiologic disease : symptoms'}]
181,alkaptonuria : symptoms,[{'summary_text': 'black bone disease . symptoms include sclera and corneal limbus . physiology : treatments . treatments'}]
182,vaginitis : diagnosis,[{'summary_text': 'vaginal wet mount : diagnostic . hepatitis c : diagnose : diagnosis : treatments'}]
183,congenital syphilis : treatments,[{'summary_text': 'congenital syphilis : treatments - treatments – physiology – treatment – interventions – treatments : prevention'}]
184,cyclosporiasis : causes,[{'summary_text': 'cyclosporiasis . hepatitis c : physiology : causes . causes: causes'}]
185,orthohantavirus : general,[{'summary_text': 'orthohantavirus . hantaviridae : causes . causes : cause . . experts: causes'}]
186,congenital hypothyroidism : general,[{'summary_text': 'congenital hypothyroidism : physiology : symptoms : causes . socioeconomic status : treatments'}]
187,psoriatic arthritis : symptoms,[{'summary_text': 'psoriatic arthritis : physiology : causes . physiologic arthritis - physiological : symptoms'}]
188,sideroblastic anemia : causes,[{'summary_text': 'sideroblastic anemia . causes include granular deposition of iron in the mitochondria . skewed x-inactivation :'}]
189,mucormycosis : symptoms,[{'summary_text': 'mucormycosis . symptoms include nausea and vomiting . bronchitis : symptoms . physiology'}]
190,anovulation : general,[{'summary_text': 'anovulation : causes physiology : treatments : symptoms : diagnosis : diagnostic : physiologies : general : prevention'}]
191,hidradenitis : treatments,[{'summary_text': 'hidradenitis : treatments physiology . physiologic sclerosis - treatments : treatment'}]
192,myxosarcoma : general,[{'summary_text': 'myxosarcoma : causes . causes physiology . hepatitis c – sclerosis .'}]
193,membranoproliferative glomerulonephritis : diagnosis,[{'summary_text': 'the gbm is rebuilt on top of the deposits . a mesangial cellular cellularity is increased .'}]
194,liddle's syndrome : general,"[{'summary_text': ""liddle's syndrome . it is a genetic disorder inherited by autosomal dominance . symptoms include hypertension, hypertension and hypertension .""}]"
195,rinderpest : general,[{'summary_text': 'rinderpest : physiology : symptoms : causes . socio-economic epidemic disease : treatments'}]
196,vitelliform macular dystrophy : general,"[{'summary_text': 'vitelliform macular dystrophy . it is characterized by yellow (or orange), round structures similar to yolk . the macula is responsible for sharp central vision .'}]"
197,ventilator-associated lung injury : prevention,[{'summary_text': 'cyclic atelectasis : physiology - prevention . alveolar overdistension : prevention'}]
198,intermenstrual bleeding : causes,[{'summary_text': 'cervicitis endometritis adenomyosis . ovarian syndrome : physiology'}]
199,scleritis : symptoms,[{'summary_text': 'scleritis . symptoms include redness of the sclera . conjunctivitis : symptoms'}]
200,café au lait spot : general,"[{'summary_text': ""'café au lait'' spots . they are caused by pigment-producing melanocytes in the epidermis of the skin .""}]"
201,hematospermia : general,[{'summary_text': 'hematospermia . hepatitis c : physiology : general physiologies - general'}]
202,neurasthenia : general,[{'summary_text': 'neurasthenia : diagnoses : diagnostic . psychiatric disorder : diagnosis : treatments physiology - diagnosis'}]
203,lyme disease : symptoms,[{'summary_text': 'lyme disease : physiology - symptoms : symptoms physiologic : causes . socio-economic factors'}]
204,dental fluorosis : diagnosis,[{'summary_text': 'dental fluorosis : diagnosis physiology : diagnostics : treatments : diagnoses . pediatrician ephemeral fluoride : symptoms'}]
205,biological psychiatry : treatments,[{'summary_text': 'mental disorders : treatments physiology - treatments - physiologies - treatment . physiologic syndrome : therapies'}]
206,ulcerative colitis : physiology,[{'summary_text': 'ulcerative colitis : physiology : causes . sulfate-reducing fatty acid : mechanisms'}]
207,dissociative identity disorder : treatments,"[{'summary_text': 'did treatment : treatments : treatment . experts: treatments can be asymptomatic . treatments can vary based on diagnosis, diagnosis, treatment physiology . authors: treatments'}]"
208,frontotemporal lobar degeneration : diagnosis,[{'summary_text': 'frontotemporal lobar degeneration : physiology : diagnosis - diagnosis : treatments : diagnostic : interventions : responses'}]
209,hypoalbuminemia : causes,[{'summary_text': 'hypoalbuminemia : physiological physiology : causes . physiologic fibromyeloma : symptoms'}]
210,autosomal dominant polycystic kidney disease : diagnosis,[{'summary_text': 'intracranial aneurysm . diagnosis of adpkd is a process of diagnosis . he says diagnosis can be a diagnostic tool .'}]
211,mucinous carcinoma : general,[{'summary_text': 'mucinous carcinoma . general : general . general adolescent lymphoma . diagnosis'}]
