,real_target,Prediction
46,diastasis symphysis pubis : general,[{'summary_text': 'diastasis symphysis pubis :'}]
47,radiculopathy : diagnosis,[{'summary_text': 'radiculopathy is the diagnosis of a symptom . '}]
48,genital wart : diagnosis,[{'summary_text': 'genital wart syndrome : diagnosis of a coma'}]
49,calciphylaxis : symptoms,[{'summary_text': 'calciphylaxis : symptoms of . .'}]
50,zellweger syndrome : diagnosis,[{'summary_text': 'zellweger syndrome asymptomatic . hepat'}]
51,mental disorder : diagnosis,[{'summary_text': 'mental disorder is a common disorder in the u.s .'}]
52,landau–kleffner syndrome : causes,[{'summary_text': 'landau–kleffner syndrome : causes . .'}]
53,hellp syndrome : physiology,[{'summary_text': 'hellp syndrome : physiology . click here for more '}]
54,trichuriasis : treatments,[{'summary_text': 'trichuriasis : treatments . u.'}]
55,congenital hypothyroidism : causes,[{'summary_text': 'congenital hypothyroidism : causes of . '}]
56,frontotemporal dementia : physiology,[{'summary_text': 'frontotemporal dementia : physiology . sy'}]
57,carcinoid : general,[{'summary_text': 'carcinoid is a common disease . it can cause '}]
58,systemic scleroderma : symptoms,[{'summary_text': 'systemic scleroderma : symptoms . .'}]
59,california encephalitis orthobunyavirus : treatments,[{'summary_text': 'california encephalitis orthobunyavirus'}]
60,rectocele : symptoms,[{'summary_text': 'rectocele symptoms : symptoms of a coma '}]
61,calculus (medicine) : treatments,[{'summary_text': 'calculus (medicine) : treatments . click here for all the'}]
62,pectus excavatum : physiology,[{'summary_text': 'pectus excavatum : physiology .'}]
63,orofacial granulomatosis : diagnosis,[{'summary_text': 'orofacial granulomatosis : diagnosis .'}]
64,hyperoxia : general,[{'summary_text': 'hyperoxia : a systomy .'}]
65,sympathetic ophthalmia : general,[{'summary_text': 'sympathetic ophthalmia : a symptom .'}]
66,insulin resistance : physiology,[{'summary_text': 'physiology of insulin resistance : a symbiotic'}]
67,frustration : symptoms,[{'summary_text': 'frustration : symptoms of a sympathetic state .'}]
68,biliary atresia : treatments,[{'summary_text': 'biliary atresia : treatments for bil'}]
69,gout : symptoms,[{'summary_text': 'gout symptoms : symptoms of a coma .'}]
70,melkersson–rosenthal syndrome : treatments,[{'summary_text': 'melkersson–rosenthal syndrome : treatments . '}]
71,candidiasis : symptoms,[{'summary_text': 'candidiasis symptoms : symptoms of a coma'}]
72,hepatic veno-occlusive disease : physiology,[{'summary_text': 'hepatic veno-occlusive disease : '}]
73,narration : general,[{'summary_text': 'what is narration . click here for all the latest samari'}]
74,nyctalopia : causes,[{'summary_text': 'nyctalopia is a chronic disease . .'}]
75,laryngomalacia : causes,[{'summary_text': 'laryngomalacia : causes of . .'}]
76,sleepwalking : diagnosis,[{'summary_text': 'sleepwalking is a common disorder in the u.s.'}]
77,anal sac adenocarcinoma : general,"[{'summary_text': ""anal sac adenocarcinoma : '""}]"
78,sciatica : diagnosis,[{'summary_text': 'sciatica diagnosis : diagnosis . sympathetic '}]
79,veterinary medicine : general,[{'summary_text': 'veterinary medicine : a symbiotic system .'}]
80,dentin dysplasia : treatments,[{'summary_text': 'dentin dysplasia : treatments for the condition .'}]
81,precocious puberty : treatments,[{'summary_text': 'precocious puberty : treatments for the disease .'}]
82,type 2 diabetes : physiology,[{'summary_text': 'type 2 diabetes : physiology . et al '}]
83,alveolar osteitis : symptoms,[{'summary_text': 'alveolar osteitis : symptoms . .'}]
84,lymphomatoid granulomatosis : physiology,[{'summary_text': 'lymphomatoid granulomatosis : physiology'}]
85,multicystic dysplastic kidney : diagnosis,[{'summary_text': 'multicystic dysplastic kidney disease : diagnosis . .'}]
86,thoracic outlet syndrome : general,[{'summary_text': 'thoracic outlet syndrome is the most common symptom in the world'}]
87,x-linked ichthyosis : diagnosis,[{'summary_text': 'x-linked ichthyosis : diagnosis '}]
88,dependent personality disorder : treatments,[{'summary_text': 'dependent personality disorder : treatments . click here for more information .'}]
89,obesity hypoventilation syndrome : diagnosis,[{'summary_text': 'obesity hypoventilation syndrome : diagnosis of a symptom '}]
90,acute disseminated encephalomyelitis : treatments,[{'summary_text': 'acute disseminated encephalomyelitis :'}]
91,abrasion (dental) : treatments,[{'summary_text': 'abrasion (dental) is a treatment for a'}]
92,hepatorenal syndrome : causes,[{'summary_text': 'hepatorenal syndrome : causes of . .'}]
93,peliosis hepatis : treatments,[{'summary_text': 'peliosis hepatisis is the most common'}]
94,sick building syndrome : diagnosis,[{'summary_text': 'sick building syndrome is a chronic disease characterized by a fever '}]
95,onchocerciasis : causes,[{'summary_text': 'onchocerciasis : causes of disease . .'}]
96,leber congenital amaurosis : symptoms,[{'summary_text': 'leber congenital amaurosis . symptoms of leber'}]
97,chilblains : symptoms,[{'summary_text': 'chilblains : symptoms of a coma'}]
98,rhinophyma : diagnosis,[{'summary_text': 'rhinophyma is a rare disease . it can cause '}]
99,sphincter of oddi dysfunction : physiology,[{'summary_text': 'sphincter of oddi dysfunction : physiology '}]
100,leukostasis : general,[{'summary_text': 'leukostasis is the most common disease in the world '}]
101,neurasthenia : symptoms,[{'summary_text': 'neurasthenia : symptoms of a coma .'}]
102,pyruvate carboxylase deficiency : diagnosis,[{'summary_text': 'pyruvate carboxylase deficiency : diagnosis'}]
103,orthostatic intolerance : diagnosis,[{'summary_text': 'orthostatic intolerance : diagnosis of . sclerosis '}]
104,expressive aphasia : general,[{'summary_text': 'expressive aphasia : asymptomatic .'}]
105,aura (symptom) : general,[{'summary_text': 'aura (symptom) : syst . :'}]
106,hemifacial spasm : causes,[{'summary_text': 'hemifacial spasm causes a disproportionate number of'}]
107,silicosis : symptoms,[{'summary_text': 'silicosis symptoms : symptoms of . bowel syndrome'}]
108,tendinopathy : causes,[{'summary_text': 'tendinopathy is a common cause . it can cause a'}]
109,tick-borne disease : treatments,[{'summary_text': 'tick-borne disease is a common disease . it can cause '}]
110,pneumothorax : general,[{'summary_text': 'pneumothorax is the most common disease in the u.s'}]
111,onychomycosis : symptoms,[{'summary_text': 'onychomycosis symptoms : symptoms . .'}]
112,monckeberg's arteriosclerosis : symptoms,"[{'summary_text': ""monckeberg's arteriosclerosis symptoms : symptoms .""}]"
113,crohn's disease : diagnosis,"[{'summary_text': ""crohn's disease : diagnosis . hepatitis""}]"
114,budd–chiari syndrome : symptoms,[{'summary_text': 'budd–chiari syndrome symptom : symptoms of bud'}]
115,epiglottitis : prevention,[{'summary_text': 'epiglottitis is the most common disease in the world .'}]
116,snoring : symptoms,[{'summary_text': 'snoring is a common disorder . it can cause'}]
117,infant respiratory distress syndrome : physiology,[{'summary_text': 'infant respiratory distress syndrome : physiology . sys'}]
118,pulmonary hypertension : diagnosis,[{'summary_text': 'pulmonary hypertension : diagnosis . a randomized controlled trial'}]
119,heavy chain disease : general,[{'summary_text': 'heavy chain disease is a common occurrence in the u.s'}]
120,protein s deficiency : general,[{'summary_text': 'protein s deficiency : a . .'}]
121,mycotoxin : general,[{'summary_text': 'mycotoxin : a skepticism .'}]
122,chorea gravidarum : treatments,[{'summary_text': 'chorea gravidarum is a symbiotic '}]
123,large intestine : general,[{'summary_text': 'large intestine : a symbiotic .'}]
124,psychomotor agitation : symptoms,[{'summary_text': 'psychomotor agitation : symptoms of a . .'}]
125,crush syndrome : physiology,[{'summary_text': 'crush syndrome : physiology . senior '}]
126,liver abscess : treatments,[{'summary_text': 'liver abscess is a treatment for a chronic disease '}]
127,complex regional pain syndrome : symptoms,[{'summary_text': 'complex regional pain syndrome . symptoms : symptoms of . .'}]
128,serotonin syndrome : causes,[{'summary_text': 'serotonin syndrome : causes . elga'}]
129,hepatitis c : diagnosis,[{'summary_text': 'hepatitis c - a symptom .'}]
130,cryopyrin-associated periodic syndrome : treatments,[{'summary_text': 'cryopyrin-associated periodic syndrome : treatments . .'}]
131,major depressive disorder : diagnosis,[{'summary_text': 'major depressive disorder : diagnosis of . dr .'}]
132,myelofibrosis : general,[{'summary_text': 'myelofibrosis is a chronic disease characterized by'}]
133,anaplastic thyroid cancer : symptoms,[{'summary_text': 'anaplastic thyroid cancer is a common condition . it is '}]
134,bornholm disease : causes,[{'summary_text': 'bornholm disease is a chronic disease . it is thought to'}]
135,henoch–schönlein purpura : physiology,[{'summary_text': 'henoch–schönlein purpura physiology .'}]
136,ascariasis : causes,[{'summary_text': 'ascariasis : causes . syphilis'}]
137,sideroblastic anemia : general,[{'summary_text': 'sideroblastic anemia is the most common symptom in the world'}]
138,vitamin e deficiency : treatments,[{'summary_text': 'vitamin e deficiency : treatments for the disease .'}]
139,neuralgia : treatments,[{'summary_text': 'neuralgia is a chronic disease . it can be '}]
140,developmental language disorder : treatments,[{'summary_text': 'developmental language disorder . a general disorder characterized by a '}]
141,polyuria : physiology,[{'summary_text': 'polyuria . physiology : physiotherapy .'}]
142,kaposi's sarcoma : treatments,"[{'summary_text': ""kaposi's sarcoma : treatments .""}]"
143,myelophthisic anemia : physiology,[{'summary_text': 'myelophthisic anemia : physiology .'}]
144,volvulus : diagnosis,[{'summary_text': 'volvulus is a disease characterized by sclerosis .'}]
145,retinopathy of prematurity : general,[{'summary_text': 'retinopathy of prematurity : a .'}]
146,oculopharyngeal muscular dystrophy : diagnosis,[{'summary_text': 'oculopharyngeal muscular dystrophy : diagnosis'}]
147,complex regional pain syndrome : prevention,[{'summary_text': 'complex regional pain syndrome : prevention . click here for more information '}]
148,rhabdomyolysis : diagnosis,[{'summary_text': 'rhabdomyolysis : diagnosis of . .'}]
149,abscess : treatments,[{'summary_text': 'abscess is a chronic disease . it can lead to'}]
150,glomus tumor : symptoms,[{'summary_text': 'glomus tumor symptoms : symptoms of . swollen'}]
151,bunion : diagnosis,[{'summary_text': 'bunion is a common condition . it can affect a person'}]
152,thiamine deficiency : symptoms,[{'summary_text': 'thiamine deficiency asymptomatic . .'}]
153,sulfatidosis : causes,[{'summary_text': 'sulfatidosis : causes of disease . .'}]
154,monoclonal gammopathy of undetermined significance : symptoms,[{'summary_text': 'monoclonal gammopathy of undetermined significance . '}]
155,onychomycosis : diagnosis,[{'summary_text': 'onychomycosis is the most common symptom .'}]
156,optic neuritis : treatments,[{'summary_text': 'optic neuritis : treatments . a randomized controlled trial'}]
157,vascular dementia : prevention,[{'summary_text': 'vascular dementia is the prevention of a coma . '}]
158,angioimmunoblastic t-cell lymphoma : symptoms,[{'summary_text': 'angioimmunoblastic t-cell lymphom'}]
159,lactose intolerance : diagnosis,[{'summary_text': 'lactose intolerance : diagnosis of . .'}]
160,hearing : general,[{'summary_text': 'what is hearing is a brief briefing on a hearing .'}]
161,organophosphate poisoning : diagnosis,[{'summary_text': 'organophosphate poisoning is a common cause . .'}]
162,rheumatic fever : symptoms,[{'summary_text': 'rheumatic fever symptom : symptoms . .'}]
163,hypothyroidism : general,[{'summary_text': 'hypothyroidism : a general symptom . '}]
164,right ventricular hypertrophy : causes,[{'summary_text': 'right ventricular hypertrophy causes a disproportionate number of people '}]
165,cough : general,[{'summary_text': 'cough is a common occurrence in the u.s .'}]
166,lactic acidosis : diagnosis,[{'summary_text': 'lactic acidosis is the most common diagnosis . .'}]
167,chronic paroxysmal hemicrania : causes,[{'summary_text': 'chronic paroxysmal hemicrania : causes .'}]
168,opioid : general,[{'summary_text': 'the opioid crisis : a symbiotic ad'}]
169,mesenteric ischemia : symptoms,[{'summary_text': 'mesenteric ischemia symptoms : symptoms . .'}]
170,psychoanalysis : general,[{'summary_text': 'psychoanalysis : a sympathetic psychia'}]
171,neonatal jaundice : causes,[{'summary_text': 'neonatal jaundice : causes . sym'}]
172,b-cell lymphoma : general,[{'summary_text': 'b-cell lymphoma : symptomatic .'}]
173,myasthenia gravis : diagnosis,[{'summary_text': 'myasthenia gravis is a rare symptom .'}]
174,postherpetic neuralgia : prevention,[{'summary_text': 'postherpetic neuralgia : prevention . .'}]
175,choanal atresia : general,[{'summary_text': 'choanal atresia is a symptom of'}]
176,achondroplasia : diagnosis,[{'summary_text': 'achondroplasia asymptomatic : diagnosis .'}]
177,myositis ossificans : diagnosis,[{'summary_text': 'myositis ossificans : diagnosis '}]
178,paternalism : general,[{'summary_text': 'paternalism is a general scepticism . it is'}]
179,myxoma : general,[{'summary_text': 'myxoma : u.s. ::'}]
180,enteritis : causes,[{'summary_text': 'enteritis is a common disorder that causes a disorder .'}]
181,alkaptonuria : symptoms,[{'summary_text': 'alkaptonuria symptoms : symptoms of . a '}]
182,vaginitis : diagnosis,[{'summary_text': 'vaginitis is a rare disease . it can cause'}]
183,congenital syphilis : treatments,[{'summary_text': 'congenital syphilis : treatments . .'}]
184,cyclosporiasis : causes,[{'summary_text': 'cyclosporiasis : causes of disease .'}]
185,orthohantavirus : general,[{'summary_text': 'orthohantavirus is a virus that can affect a person'}]
186,congenital hypothyroidism : general,[{'summary_text': 'congenital hypothyroidism : a general .'}]
187,psoriatic arthritis : symptoms,[{'summary_text': 'psoriatic arthritis symptoms : symptoms of . .'}]
188,sideroblastic anemia : causes,[{'summary_text': 'sideroblastic anemia is a common cause . .'}]
189,mucormycosis : symptoms,[{'summary_text': 'mucormycosis symptoms : symptoms of . .'}]
190,anovulation : general,[{'summary_text': 'anovulation : a luther .'}]
191,hidradenitis : treatments,[{'summary_text': 'hidradenitis is a chronic disease . .'}]
192,myxosarcoma : general,[{'summary_text': 'myxosarcoma : a symptom .'}]
193,membranoproliferative glomerulonephritis : diagnosis,[{'summary_text': 'membranoproliferative glomerulonephriti'}]
194,liddle's syndrome : general,"[{'summary_text': ""liddle's syndrome is the most common symptom in the world""}]"
195,rinderpest : general,[{'summary_text': 'rinderpest is a london city .'}]
196,vitelliform macular dystrophy : general,[{'summary_text': 'vitelliform macular dystrophy : a symptom'}]
197,ventilator-associated lung injury : prevention,[{'summary_text': 'ventilator-associated lung injury : prevention . u.s'}]
198,intermenstrual bleeding : causes,[{'summary_text': 'intermenstrual bleeding : causes of a . .'}]
199,scleritis : symptoms,[{'summary_text': 'scleritis is a chronic disease characterized by a'}]
200,café au lait spot : general,[{'summary_text': 'café au lait spot is a great place to visit . '}]
201,hematospermia : general,[{'summary_text': 'hematospermia is the most common disease in the'}]
202,neurasthenia : general,[{'summary_text': 'neurasthenia is a syphilia .'}]
203,lyme disease : symptoms,[{'summary_text': 'lyme disease symptoms : symptoms . sympathetic'}]
204,dental fluorosis : diagnosis,[{'summary_text': 'dental fluorosis : diagnosis of a serious condition .'}]
205,biological psychiatry : treatments,[{'summary_text': 'biological psychiatry . treatments are available in the uk'}]
206,ulcerative colitis : physiology,[{'summary_text': 'ulcerative colitis : physiology . elg'}]
207,dissociative identity disorder : treatments,[{'summary_text': 'dissociative identity disorder is a disorder characterized by a '}]
208,frontotemporal lobar degeneration : diagnosis,[{'summary_text': 'frontotemporal lobar degeneration : diagnosis . .'}]
209,hypoalbuminemia : causes,[{'summary_text': 'hypoalbuminemia is a common cause . a symptom'}]
210,autosomal dominant polycystic kidney disease : diagnosis,[{'summary_text': 'autosomal dominant polycystic kidney disease : diagnosis '}]
211,mucinous carcinoma : general,[{'summary_text': 'mucinous carcinoma is a common disease . it is '}]
212,urachal cyst : diagnosis,[{'summary_text': 'urachal cyst is the most common disease in the u.s'}]
213,methemoglobinemia : physiology,[{'summary_text': 'methemoglobinemia : physiology . .'}]
214,post-concussion syndrome : treatments,[{'summary_text': 'post-concussion syndrome : treatments for the disease .'}]
215,hypervitaminosis a : physiology,[{'summary_text': 'hypervitaminosis a : physiology .'}]
216,nerve compression syndrome : treatments,[{'summary_text': 'nerve compression syndrome is a chronic disease . it is the most common'}]
217,buruli ulcer : prevention,[{'summary_text': 'buruli ulcer : prevention . u.s :'}]
218,dream : general,[{'summary_text': 'dream : what is dream . click here for more information .'}]
219,burkholderia : general,"[{'summary_text': ""burkholderia : 'i'm not a""}]"
220,extensively drug-resistant tuberculosis : treatments,[{'summary_text': 'extensively drug-resistant tuberculosis : treatments .'}]
221,goitre : general,[{'summary_text': 'goitre : a symbiotic sex'}]
222,prediabetes : general,[{'summary_text': 'prediabetes : u.s. eu '}]
223,incisional hernia : causes,[{'summary_text': 'incisional hernia : causes of . .'}]
224,dysgeusia : general,[{'summary_text': 'dysgeusia : symbiosis '}]
225,angelman syndrome : treatments,[{'summary_text': 'angelman syndrome is a chronic disease . it is thought to be'}]
226,animal communication : general,[{'summary_text': 'animal communication : a guide to the world . : general'}]
227,mesothelioma : prevention,[{'summary_text': 'mesothelioma is a rare disease .'}]
228,wolfram syndrome : general,[{'summary_text': 'wolfram syndrome is a chronic disease characterized by a '}]
229,tooth ankylosis : diagnosis,[{'summary_text': 'tooth ankylosis is a rare disease . it can cause'}]
230,itch : symptoms,[{'summary_text': 'itch symptoms : symptoms of a comorbid .'}]
231,ranula : treatments,[{'summary_text': 'ranula is a disease characterized by sclerosis .'}]
232,near-sightedness : causes,[{'summary_text': 'near-sightedness is the cause of a coma .'}]
233,hemolytic anemia : general,[{'summary_text': 'hemolytic anemia : systoma .'}]
234,trachoma : causes,[{'summary_text': 'trachoma : causes of a coma .'}]
235,giant-cell arteritis : symptoms,[{'summary_text': 'giant-cell arteritis : symptoms of . .'}]
236,food intolerance : causes,[{'summary_text': 'food intolerance is a common cause . it can lead to'}]
237,uterine perforation : general,[{'summary_text': 'uterine perforation : a general . .'}]
238,sleep deprivation : general,[{'summary_text': 'sleep deprivation : a general symptom . '}]
239,mastoiditis : treatments,[{'summary_text': 'mastoiditis treatments : treatments . click here for'}]
240,hyperemesis gravidarum : general,[{'summary_text': 'hyperemesis gravidarum : a . '}]
241,hypothermia : causes,[{'summary_text': 'hypothermia is a chronic disease . it causes a'}]
242,dysplastic nevus syndrome : diagnosis,[{'summary_text': 'dysplastic nevus syndrome : diagnosis . u.s'}]
243,balanitis : symptoms,[{'summary_text': 'balanitis symptoms : symptoms of a coma '}]
244,paraphilia : general,[{'summary_text': 'paraphilia is a syria .'}]
245,sleep paralysis : general,[{'summary_text': 'sleep paralysis : a common symptom : sleep .'}]
246,taeniasis : transmission,[{'summary_text': 'taeniasis : transmission . u.s'}]
247,idiopathic orbital inflammatory disease : physiology,[{'summary_text': 'idiopathic orbital inflammatory disease : physiology'}]
248,gene duplication : general,[{'summary_text': 'gene duplication : a systicism .'}]
249,near-sightedness : prevention,[{'summary_text': 'near-sightedness is the prevention of sightedness . .'}]
250,right ventricular hypertrophy : physiology,[{'summary_text': 'right ventricular hypertrophy : physiology . .'}]
251,dandy–walker malformation : symptoms,[{'summary_text': 'dandy–walker malformation . symptoms are common .'}]
252,donohue syndrome : diagnosis,[{'summary_text': 'donohue syndrome is a rare disease . .'}]
253,refeeding syndrome : treatments,[{'summary_text': 'refeeding syndrome is a chronic disease . it is '}]
254,mitral insufficiency : physiology,[{'summary_text': 'mitral insufficiency : physiology and physio'}]
255,mucormycosis : general,[{'summary_text': 'mucormycosis is the most common disease in the world '}]
256,necrotizing enterocolitis : diagnosis,[{'summary_text': 'necrotizing enterocolitis : diagnosis of . .'}]
257,pelvic inflammatory disease : prevention,[{'summary_text': 'pelvic inflammatory disease : prevention . u.s.'}]
258,kwashiorkor : causes,"[{'summary_text': ""kwashiorkor's causes : causes of .""}]"
259,picornavirus : general,[{'summary_text': 'picornavirus is a virus that causes a complication'}]
260,high-grade prostatic intraepithelial neoplasia : diagnosis,[{'summary_text': 'high-grade prostatic intraepithelial neop'}]
261,cholecystitis : symptoms,[{'summary_text': 'cholecystitis : symptoms . .'}]
262,hereditary elliptocytosis : physiology,[{'summary_text': 'hereditary elliptocytosis : physiology'}]
263,lateral medullary syndrome : causes,[{'summary_text': 'lateral medullary syndrome : causes of . .'}]
264,cholecystitis : diagnosis,[{'summary_text': 'cholecystitis is a chronic disease .'}]
265,tangier disease : general,[{'summary_text': 'tangier disease : a symbiosis'}]
266,migraine : physiology,[{'summary_text': 'migraine physiology : physiotherapy . elg'}]
267,cellulitis : symptoms,[{'summary_text': 'cellulitis is a common condition . it can cause a'}]
268,space adaptation syndrome : causes,[{'summary_text': 'space adaptation syndrome causes a disproportionate number of people to develop .'}]
269,criminal psychology : general,[{'summary_text': 'criminal psychology is the most common practice in the uk . .'}]
270,biotinidase deficiency : symptoms,[{'summary_text': 'biotinidase deficiency : symptoms .'}]
271,x-linked intellectual disability : general,[{'summary_text': 'x-linked intellectual disability is a common disorder . it is'}]
272,hypothalamus : general,[{'summary_text': 'hypothalamus : systoma :'}]
273,diplopia : diagnosis,[{'summary_text': 'diplopia is a common disorder . it can cause a'}]
274,schizoid personality disorder : treatments,[{'summary_text': 'schizoid personality disorder : treatments for . .'}]
275,megalencephaly : general,[{'summary_text': 'megalencephaly : a syringe '}]
276,rumination syndrome : treatments,[{'summary_text': 'rumination syndrome is a chronic disease characterized by a'}]
277,mycoplasma : physiology,[{'summary_text': 'mycoplasma physiology : physio . .'}]
278,mesenteric ischemia : treatments,[{'summary_text': 'mesenteric ischemia is a chronic disease . it'}]
279,proctitis : causes,[{'summary_text': 'proctitis : causes of a coma .'}]
280,eclampsia : physiology,[{'summary_text': 'eclampsia : physiology and physio'}]
281,seborrheic keratosis : treatments,[{'summary_text': 'seborrheic keratosis : treatments '}]
282,shwachman–diamond syndrome : physiology,[{'summary_text': 'shwachman–diamond syndrome : physiology '}]
283,cadaver : general,[{'summary_text': 'cadaver : a guide to the u.s.'}]
284,voyeurism : general,[{'summary_text': 'voyeurism is the most common disease in the world '}]
285,lambert–eaton myasthenic syndrome : treatments,[{'summary_text': 'lambert–eaton myasthenic syndrome : treatments'}]
286,paraphilia : diagnosis,[{'summary_text': 'paraphilia : diagnosis and diagnosis . u.s'}]
287,tracheoesophageal fistula : treatments,[{'summary_text': 'tracheoesophageal fistula :'}]
288,microvascular angina : causes,[{'summary_text': 'microvascular angina : causes of a coma .'}]
289,peptic ulcer disease : treatments,[{'summary_text': 'peptic ulcer disease is a common disease . it can cause'}]
290,histoplasmosis : prevention,[{'summary_text': 'histoplasmosis is the most common disease in the world '}]
291,postpericardiotomy syndrome : diagnosis,[{'summary_text': 'postpericardiotomy syndrome : diagnosis of . .'}]
292,nasal congestion : treatments,[{'summary_text': 'nasal congestion treatments : treatments for a coma . '}]
293,narcotherapy : general,[{'summary_text': 'narcotherapy is the most popular treatment in the world .'}]
294,heart failure : prevention,[{'summary_text': 'heart failure is the prevention of a comorbid disorder .'}]
295,phimosis : treatments,[{'summary_text': 'phimosis . treatments are available in the uk .'}]
296,lymphedema : physiology,[{'summary_text': 'lymphedema : physiology . et al'}]
297,gunshot wound : prevention,[{'summary_text': 'gunshot wound : prevention . u.s. embassy'}]
298,lamellar ichthyosis : treatments,[{'summary_text': 'lamellar ichthyosis : treatments '}]
299,hypoaldosteronism : diagnosis,[{'summary_text': 'hypoaldosteronism : diagnosis of . .'}]
300,sarcoma : physiology,[{'summary_text': 'sarcoma physiology : physiotherapy .'}]
301,cutaneous leishmaniasis : general,[{'summary_text': 'cutaneous leishmaniasis : a symptom .'}]
302,arteriolosclerosis : general,[{'summary_text': 'arteriolosclerosis is the most common disease in the u.s'}]
303,hepatopulmonary syndrome : general,[{'summary_text': 'hepatopulmonary syndrome : asymptomatic . '}]
304,thyroglossal cyst : general,[{'summary_text': 'thyroglossal cyst : a symptom '}]
305,hepatitis : symptoms,[{'summary_text': 'hepatitis symptoms : symptoms of a fever .'}]
306,pulmonary hypertension : symptoms,[{'summary_text': 'pulmonary hypertension : symptoms . a coma '}]
307,aniseikonia : causes,[{'summary_text': 'aniseikonia is a chronic disease . .'}]
308,susac's syndrome : general,"[{'summary_text': ""susac's syndrome is the most common symptom in the world""}]"
309,depression : general,[{'summary_text': 'depression : a sympathetic . .'}]
